grant_name,logo,foundation_name,supported_chains,application_status,grant_prize,details_link,application_link,description,tags
Boba,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fabf25dfd-0338-481a-b7cb-eeeec26705c9&w=128&q=75,Boba,"Binance Smart Chain, Avalanche, Fantom, Ethereum","April 12, 2023","  $100,000",https://boba.network/developers/grants/,https://09xrmnsnzxw.typeform.com/to/n6ctLmOh,Boba dev grants help teams go build and scale their project. Dev grants are typically given to teams that want to build the next big thing. We choose promising teams with big ideas that need help scaling regardless of whether they’re on testnet or mainnet. The dev grants feature financial and marketing support as well as mentorship.,"Analytics, Applications, NFT, GameFi, DeFi"
Unstoppable Domains Grant Program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F7843c196-d432-4093-a51e-edb3f7d846cb&w=128&q=75,Unstoppable Domains Grant Program,Ethereum,"April 12, 2023","$5,000  $15,000",https://medium.com/unstoppabledomain/the-blockchain-domain-grant-program-526e0ce6bf39,https://unstoppabledomains.com/grants,The grant program provides money to selected wallets and exchanges to cover costs associated with integrating .zil domains. This program will speed up the process of making .zil standard across the entire crypto ecosystem.,Domain Service
Crust Grants Program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fa447b089-0cf6-4b1d-abdd-3ce9c087c24d&w=128&q=75,Crust Grants Program,Polkadot,"April 12, 2023",  ,https://github.com/crustio/Crust-Grants-Program,https://github.com/crustio/Crust-Grants-Program/blob/main/applications/application_template.md,Crust provides a decentralized storage network of the Web3 ecosystem. It is designed to build a decentralized cloud ecosystem that values data privacy and ownership. It supports multiple storage layer protocols such as IPFS and exposes storage interfaces to the application layer.,"NFT, Storage"
Lisk Grant Program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F8342cafd-e203-4670-b38c-795a3580d8d2&w=128&q=75,Lisk Grant Program,Lisk,"April 12, 2023","$60,000  ",https://lisk.com/grant-program,https://liskhq.typeform.com/to/hP91JmCp?typeform-source=lisk.com,The Lisk Grant Program offers funding to entrepreneurs and developers building Web3 apps with the Lisk SDK.,"Stablecoin, NFT, Oracle, DeFi"
Aave Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F1259da2e-6737-4be0-9822-30f728e1d24e&w=128&q=75,Aave Grants,"Ethereum, Polygon","April 12, 2023","$10,000  $500,000",https://aavegrants.org/,https://aavegrants.org/apply-for-a-grant,Aave Protocol is a decentralized lending platform built on the Ethereum blockchain. It allows users to lend and borrow cryptocurrencies and earn interest on their deposits.,"Lending/Borrowing, Applications, Code Audit, Community, Protocol Development"
ink!ubator: Ecosystem Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fea5e14be-cef8-43ef-a839-276f76a3534a&w=128&q=75,ink!ubator: Ecosystem Grants,Polkadot,"April 13, 2023","  $250,000",https://use.ink/ubator/,https://github.com/use-inkubator/Ecosystem-Grants#1-application,"Ecosystem Grants are part of the ink!ubator, a holistic bounty program with the goal of furthering the ink! smart contracting ecosystem. This bounty program is funded by the Polkadot treasury with the support of the community.",Ecosystem
Flow,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F81148f9b-528a-46ee-9a74-355fdd5797b9&w=128&q=75,Flow,Ethereum,"April 12, 2023",  ,https://github.com/onflow/developer-grants,https://github.com/login?return_to=https%3A%2F%2Fgithub.com%2Fonflow%2Fdeveloper-grants%2Fissues%2Fnew%3Fassignees%3Dalxflw%26labels%3Din%2Breview%26template%3Dgrant-application.md%26title%3D,"The Flow Ecosystem Fund’s global investor group includes industry-leading firms that have backed several of the most successful Web3 companies.

With a focus on enabling more distributed and equitable Web3 opportunities, the Ecosystem Fund will support existing and future developers in building applications on the Flow blockchain through investments, FLOW token grants and in-kind support. Available to developers around the globe, the Fund will focus on support for gaming, infrastructure, decentralized finance, content and creators.

Flow's success is dependent on an active and thriving community of builders that help accelerate and enhance the process of building and consuming applications on Flow. We ensure builders can sustain their commitment through FLOW token grants for the following contributions: opensource maintenance, developer services, product bounties, and educational material.","Tooling, Stablecoin, Protocol Development"
Kadena Eco Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F95acf5ee-3418-4512-bc9f-79667aed2d05&w=128&q=75,Kadena Eco Grants,Kadena,"April 12, 2023","$5,000  $50,000",https://github.com/kadena-io/technical-grants,https://khnrs3ltkjv.typeform.com/grant-app?typeform-source=www.google.com,Kadena (KDA) is a platform that seeks to provide a comprehensive decentralized infrastructure to help businesses achieve full crypto capabilities.,Ecosystem
Polkadot web3 foundation,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F352cef51-7223-458f-97c9-473bc2a7905f&w=128&q=75,Polkadot web3 foundation,Polkadot,"April 12, 2023","$10,000  ",https://web3.foundation/grants/,https://github.com/w3f/Grants-Program#web3-foundation-grants-program,"In support of our mission, the Web3 Foundation grants program funds software development and research in the field of decentralized software protocols.","Protocol Development, Research, Security, Tooling, Zero knowledge proofs, Governance, Exchange, Ecosystem, DeFi, Applications, Oracle"
Ethereum Foundation,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F842962f2-ea2e-4088-946f-9974ad94ddb0&w=128&q=75,Ethereum Foundation,Ethereum,"April 12, 2023",  ,https://esp.ethereum.foundation/,https://esp.ethereum.foundation/applicants,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. ","Ecosystem, Social, Layer 2"
Darwinia Grants Program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F0d01bce4-b862-4afc-b61c-3fca932a9a19&w=128&q=75,Darwinia Grants Program,Polkadot,"April 12, 2023","  $6,000",https://github.com/darwinia-network/collaboration/blob/master/grant/README.md,https://github.com/darwinia-network/collaboration/blob/master/grant/grant_application_template.md,"Darwinia Network is a decentralized cross-chain bridge network building on Substrate, the ""Web 3.0 cross-chain bridge hub"" of the cross-chain ecology. It provides a safe and general bridging solution, connects to Polkadot, Ethereum, TRON, and other heterogeneous chains by cross-chain transfer of assets and remote chain calls. The application areas of Darwinia Network include DeFi, cross-chain NFT trading, games, etc.","NFT, GameFi, DeFi"
Tableland Pilot Program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fa607480e-beed-4d90-81f7-0fc2affc9a30&w=128&q=75,Tableland Pilot Program,Ethereum,"April 12, 2023","$5,000  $15,000",https://tableland.xyz/pilot-program/,https://hhueol4i6vp.typeform.com/to/b1VDj6sU?typeform-source=tableland.xyz,"Tableland is a composable data network that brings SQL to smart contracts on Ethereum and other EVM-compatible chains. Read and write structured data to the blockchain to supercharge NFTs, games, metaverse experiences, and all of web3.",Storage
Moonbeam Foundation Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F375f6cfc-ea9b-4028-beca-b83e69ee5b71&w=128&q=75,Moonbeam Foundation Grants,"Ethereum, Polkadot","April 12, 2023",  ,https://moonbeam.foundation/,https://moonbeam.foundation/grants/apply/,"Moonbeam is a highly specialized Layer 1 chain that mirrors Ethereum’s Web3 RPC, accounts, keys, subscriptions, logs, and more. The Moonbeam platform extends the base Ethereum feature set with additional on-chain governance, staking, and cross-chain integrations. It’s built on Polkadot.","Ecosystem, Governance, NFT, GameFi, DeFi"
Solana Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fd08076ad-be1c-43fa-a8a1-ce4d0c0117d0&w=128&q=75,Solana Grants,Solana,"April 12, 2023",  ,https://solana.org/de/grants,https://share.hsforms.com/1GE1hYdApQGaDiCgaiWMXHA5lohw,"Solana is an open-source project implementing a new, high-performance, permissionless blockchain. The Solana Foundation is based in Geneva, Switzerland, and maintains the open-source project.",DeFi
Velas Grants Program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F3dd8f641-c445-496c-8d83-a54cb52a8c7e&w=128&q=75,Velas Grants Program,Ethereum,"April 12, 2023","  $100,000",https://docs.velas.com/grants,https://velasgrantprogram.typeform.com/to/k2B6RaPH,Velas is an AI-powered Delegated Proof-of-Stake (AIDPOS) blockchain and open-source platform for decentralized applications. The fork of Solana with embedded EVM integration.,"NFT, GameFi, DeFi"
NEAR Foundation Grants Program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F0e5e059e-45e6-4ced-9ef0-2219d0f94932&w=128&q=75,NEAR Foundation Grants Program,Near,"April 12, 2023","$5,000  $500,000",https://near.org/ecosystem/get-funding/,https://grants.near.org/signup?ReturnUrl=%2Fuser%2Fsubmissions,"NEAR is a collective, a foundation, and a development platform built on a new layer-one blockchain.","Ecosystem, NFT, GameFi, DeFi"
Polygon Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F2b5c0e1d-80f3-4de9-9eea-70edbc61aa0e&w=128&q=75,Polygon Grants,"Ethereum, Polygon","April 12, 2023",  ,https://polygon.technology/funds,https://polygoncommunity.typeform.com/to/krMJR89c?typeform-source=polygon.technology,Polygon is a decentralised Ethereum scaling platform that enables developers to build scalable user-friendly dApps with low transaction fees without ever sacrificing on security.,"Ecosystem, DeFi"
Algorand Foundation,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F5c68a055-61e4-4bb0-9a62-a4981f2ad2f6&w=128&q=75,Algorand Foundation,Algorand,"April 12, 2023","  $300,000",https://www.algorand.foundation/funding,https://prismic-io.s3.amazonaws.com/algorandfoundation/27457286-95de-4679-aa59-94dd3a8eb0fb_ALGO+Grants+Proposal+Document.pdf,"Algorand is a blockchain-based cryptocurrency platform with a native cryptocurrency called ALGO.
Fun fact:
Recently El Salvador developed the government's blockchain infrastructure using Algorand.","Ecosystem, Exchange, NFT, GameFi, Oracle, DeFi"
Filecoin Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Ff1100752-7b88-489f-b037-22a9b55df941&w=128&q=75,Filecoin Grants,Filecoin,"April 12, 2023","$5,000  $5,000",https://grants.filecoin.io/,https://github.com/filecoin-project/devgrants#-how-to-apply,"Filecoin is a peer-to-peer network that stores files, with built-in economic incentives to ensure files are stored reliably over time.","Metaverse, Storage"
Neo Eco Support,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F9a8385c8-38c0-40b7-beff-5d3e8c52eef2&w=128&q=75,Neo Eco Support,Near,"April 12, 2023","  $50,000",https://neo.org/eco#general-grants,https://neo.org/eco#ecoboost,"Neo is an open-source, decentralized blockchain decentralized application platform founded in 2014.","Security, Exchange, DeFi"
peaq Grant Program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F08a73858-67fa-46e7-87e3-8687f31c6ccd&w=128&q=75,peaq Grant Program,Polkadot,"April 12, 2023",  ,https://docs.peaq.network/peaq-grant-program,https://2hd1brbnhvd.typeform.com/to/zzYBr9h3?utm_source=xxxxx,peaq reserves more than 10% of the tokens for the ecosystem. These tokens and any financial resources will be made available to the community through the peaq Grant Program and further Ecosystem Initiatives to fund and support any decentralized applications and projects that are driving the peaq ecosystem.,IoT
Optimism,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F181f80de-6e65-406a-8af6-13b37a7ec84b&w=128&q=75,Optimism,Ethereum,"April 12, 2023",  ,https://community.optimism.io/,https://community.optimism.io/docs/governance/proposals/,"Optimism is a fast, stable, and scalable L2 blockchain built by Ethereum developers, for Ethereum developers. Built as a minimal extension to existing Ethereum software, Optimism’s EVM-equivalent architecture scales your Ethereum apps without surprises. If it works on Ethereum, it works on Optimism at a fraction of the cost","Tooling, Ecosystem, Exchange, NFT, DeFi"
dYdX,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Ff05b249c-ea52-4013-b104-84a4102ce2b4&w=128&q=75,dYdX,Ethereum,"April 12, 2023",  ,https://www.dydxgrants.com,https://www.dydxgrants.com/grants-application,"dYdX is a decentralized exchange built on the Ethereum network delivering key financial instruments to users such as perpetuals, margin and spot trading, as well as lending and borrowing.","DeFi, Research"
Biconomy DAO Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F7377929e-b51d-4938-ab52-da91cccb2c5d&w=128&q=75,Biconomy DAO Grants,"Binance Smart Chain, Arbitrum, Avalanche, Optimism, Fantom, Celo, Gnosis, Ethereum, Polygon","April 12, 2023","  $25,000",https://biconomy.notion.site/Biconomy-DAO-Grants-Wiki-56646af2cdcd4806b44b679dee22ce50,https://buidl.so/biconomy-micro-grants-program,The Biconomy DAO grants seek to empower teams who are building essential tools and infrastructure that accelerate the adoption of Web 3.0 and in expanding the Biconomy Ecosystem.,Tooling
Dune Analytics Wizard Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fc3a01439-4b82-4519-9a1b-92260c29c328&w=128&q=75,Dune Analytics Wizard Grants,"Binance Smart Chain, Optimism, Ethereum, Polygon, Solana","April 12, 2023","  $10,000",https://dune.com/blog/wizard-grants,https://dune.com/blog/wizard-grants,"Wizard grants will be awarded to our most engaged and active community members - and to those with talent that we want to help nurture & grow. Resident Wizards will also help with our education, coordination and partnership efforts. This should in turn lead to a more productive and engaged core dune community",Analytics
Pool Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F327e78c5-76fa-4734-84cf-3635f3e2ad34&w=128&q=75,Pool Grants,"Arbitrum, Optimism, Ethereum, Polygon","April 12, 2023",  ,https://poolgrants.org/,https://poolgrants.org/apply,"PoolTogether is a decentralized and open source blockchain protocol for prize-linked savings. Replicating ""https://en.wikipedia.org/wiki/Prize-linked_savings_account"" all depositors are offered a chance to win prizes without needing to risk their deposited funds.

This is possible because prizes are made up of the interest that accrues on all deposited funds.
🏦 Users deposit into the network
📈 Yield accrues on all deposits
🏆 The yield is randomly awarded as prizes to the users.",Lending/Borrowing
